OBJECTID,ctyua17cd,ctyua17nm,Shape_Leng,Shape_Area,AdultCount,AdultWeekl,AWSD,AWSDCat,AdultMonth,AMSD,AMSDCat,AdultINever,ANSD,ANSDCat,AdultInfreq,AISD,AISDCat,ChildCount,ChildWeekl,ChildMonth,ChildNever
74,E10000007,Derbyshire,454887.4273,2550841722,1497,0.653124161,0.930353879,>0,0.820053446,0.771053127,>0,0.05643068,-0.827624281,<0,0.123515873,-0.448301318,<0,275,0.77230057,0.834654281,0.165345719
75,E10000008,Devon,1004228.63,6567231243,1891,0.730737115,1.77904552,>1,0.858696427,1.301531193,>1,0.04016774,-1.201244517,< 1,0.101135833,-0.946390423,<0,495,0.823161243,0.866168551,0.133831449
96,E08000017,Doncaster,168559.9442,568029182.7,928,0.525523436,-0.464950166,<0,0.73075946,-0.454745186,<0,0.111349821,0.434072706,>0,0.157890719,0.316743618,>0,226,0.752055024,0.817027176,0.182972824
79,E10000009,Dorset,550742.0717,2541966736,1338,0.669350289,1.107785332,>1,0.831615928,0.929779057,>0,0.06101716,-0.722255772,<0,0.107366912,-0.807711826,<0,258,0.713661981,0.77323662,0.22676338
118,E08000027,Dudley,72680.62864,97939613.98,113,0.519547855,-0.530292682,<0,0.718036295,-0.629404589,<0,0.091748807,-0.016235508,<0,0.190214898,1.036149008,>1,45,0.764702991,0.809181253,0.190818747
135,E09000009,Ealing,46679.04303,55538606.36,601,0.476627602,-0.999622324,<0,0.735931452,-0.38374579,<0,0.065070093,-0.629144823,<0,0.198998454,1.231635412,>1,142,0.681869311,0.784784142,0.215215858
6,E06000011,East Riding of Yorkshire,496822.1483,2406546933,766,0.657249782,0.975467225,>0,0.843698513,1.095644789,>1,0.050966535,-0.95315602,<0,0.105334952,-0.852935031,<0,149,0.795583666,0.879657458,0.120342542
87,E10000011,East Sussex,335010.6729,1712681891,892,0.748388024,1.972056843,>1,0.869758462,1.453387151,>1,0.05694401,-0.815831181,<0,0.073297528,-1.565958414,< 1,211,0.667908115,0.729484711,0.270515289
136,E09000010,Enfield,40459.92979,82171315.91,695,0.504525744,-0.694558302,<0,0.726204821,-0.517269765,<0,0.112525894,0.461091478,>0,0.161269285,0.391936822,>0,197,0.599333615,0.678591042,0.321408958
91,E10000012,Essex,1053049.712,3471603019,3229,0.597043945,0.31712106,>0,0.810776725,0.643705369,>0,0.073984984,-0.42433661,<0,0.115238291,-0.632526789,<0,869,0.789848558,0.863125529,0.136874471
